id,Rings
90615,10
90616,10
90617,11
90618,10
90619,8
90620,9
90621,11
90622,6
90623,8
90624,10
90625,10
90626,6
90627,9
90628,13
90629,7
90630,7
90631,12
90632,6
90633,10
90634,8
90635,6
90636,7
90637,9
90638,8
90639,9
90640,10
90641,10
90642,9
90643,5
90644,10
90645,9
90646,8
90647,10
90648,10
90649,10
90650,10
90651,9
90652,8
90653,11
90654,6
90655,8
90656,8
90657,8
90658,7
90659,10
90660,7
90661,9
90662,7
90663,9
90664,7
90665,13
90666,9
90667,5
90668,11
90669,9
90670,9
90671,9
90672,8
90673,13
90674,7
90675,5
90676,9
90677,14
90678,5
90679,9
90680,10
90681,9
90682,18
90683,10
90684,9
90685,14
90686,6
90687,10
90688,8
90689,13
90690,21
90691,8
90692,10
90693,15
90694,9
90695,8
90696,10
90697,8
90698,9
90699,5
90700,10
90701,9
90702,8
90703,10
90704,5
90705,11
90706,11
90707,6
90708,8
90709,9
90710,9
90711,10
90712,8
90713,11
90714,7
90715,8
90716,7
90717,9
90718,4
90719,6
90720,14
90721,8
90722,8
90723,8
90724,10
90725,6
90726,7
90727,7
90728,10
90729,10
90730,9
90731,6
90732,7
90733,10
90734,9
90735,8
90736,8
90737,5
90738,7
90739,15
90740,10
90741,5
90742,9
90743,11
90744,7
90745,8
90746,8
90747,4
90748,10
90749,10
90750,4
90751,8
90752,8
90753,8
90754,9
90755,9
90756,8
90757,9
90758,9
90759,7
90760,7
90761,10
90762,9
90763,9
90764,19
90765,10
90766,7
90767,16
90768,12
90769,6
90770,11
90771,10
90772,6
90773,7
90774,6
90775,9
90776,7
90777,10
90778,9
90779,10
90780,9
90781,11
90782,8
90783,10
90784,6
90785,9
90786,7
90787,9
90788,4
90789,10
90790,9
90791,6
90792,7
90793,7
90794,6
90795,12
90796,11
90797,9
90798,13
90799,9
90800,16
90801,10
90802,7
90803,10
90804,16
90805,10
90806,8
90807,13
90808,8
90809,13
90810,10
90811,9
90812,5
90813,9
90814,7
90815,8
90816,5
90817,10
90818,8
90819,6
90820,7
90821,9
90822,7
90823,6
90824,10
90825,8
90826,5
90827,4
90828,9
90829,10
90830,8
90831,8
90832,9
90833,11
90834,9
90835,10
90836,8
90837,5
90838,11
90839,7
90840,9
90841,12
90842,14
90843,9
90844,12
90845,10
90846,13
90847,7
90848,9
90849,9
90850,9
90851,15
90852,6
90853,11
90854,11
90855,7
90856,9
90857,10
90858,9
90859,10
90860,9
90861,9
90862,11
90863,9
90864,9
90865,18
90866,19
90867,11
90868,12
90869,8
90870,19
90871,9
90872,17
90873,7
90874,13
90875,9
90876,9
90877,9
90878,8
90879,9
90880,8
90881,11
90882,9
90883,13
90884,10
90885,10
90886,13
90887,5
90888,8
90889,13
90890,9
90891,11
90892,9
90893,5
90894,10
90895,10
90896,6
90897,6
90898,5
90899,17
90900,10
90901,11
90902,8
90903,6
90904,7
90905,7
90906,7
90907,10
90908,4
90909,14
90910,9
90911,9
90912,21
90913,9
90914,9
90915,7
90916,9
90917,11
