id,Rings
90615,9
90616,10
90617,13
90618,13
90619,7
90620,13
90621,9
90622,6
90623,7
90624,7
90625,8
90626,6
90627,6
90628,9
90629,7
90630,7
90631,7
90632,6
90633,9
90634,13
90635,6
90636,7
90637,9
90638,13
90639,8
90640,7
90641,6
90642,13
90643,6
90644,7
90645,7
90646,13
90647,7
90648,7
90649,13
90650,10
90651,13
90652,7
90653,7
90654,6
90655,7
90656,10
90657,7
90658,6
90659,7
90660,7
90661,7
90662,7
90663,7
90664,7
90665,13
90666,13
90667,6
90668,7
90669,6
90670,7
90671,7
90672,7
90673,7
90674,8
90675,6
90676,7
90677,13
90678,6
90679,13
90680,7
90681,13
90682,10
90683,9
90684,9
90685,7
90686,7
90687,8
90688,9
90689,13
90690,7
90691,7
90692,10
90693,7
90694,8
90695,13
90696,10
90697,7
90698,7
90699,6
90700,13
90701,8
90702,10
90703,7
90704,6
90705,7
90706,7
90707,6
90708,7
90709,9
90710,12
90711,7
90712,8
90713,7
90714,12
90715,8
90716,7
90717,10
90718,6
90719,6
90720,12
90721,13
90722,6
90723,7
90724,8
90725,6
90726,8
90727,10
90728,13
90729,10
90730,7
90731,6
90732,6
90733,13
90734,9
90735,7
90736,8
90737,6
90738,7
90739,7
90740,9
90741,6
90742,9
90743,7
90744,8
90745,8
90746,7
90747,6
90748,7
90749,7
90750,5
90751,7
90752,9
90753,6
90754,8
90755,7
90756,10
90757,7
90758,9
90759,8
90760,8
90761,13
90762,9
90763,8
90764,10
90765,7
90766,8
90767,10
90768,7
90769,6
90770,10
90771,7
90772,6
90773,7
90774,8
90775,7
90776,8
90777,8
90778,8
90779,10
90780,9
90781,10
90782,7
90783,9
90784,6
90785,9
90786,6
90787,8
90788,5
90789,6
90790,9
90791,7
90792,6
90793,7
90794,6
90795,7
90796,10
90797,9
90798,9
90799,8
90800,10
90801,7
90802,7
90803,9
90804,7
90805,7
90806,7
90807,6
90808,12
90809,13
90810,7
90811,7
90812,6
90813,8
90814,7
90815,7
90816,6
90817,8
90818,9
90819,7
90820,7
90821,10
90822,7
90823,6
90824,9
90825,7
90826,6
90827,6
90828,9
90829,7
90830,13
90831,7
90832,10
90833,9
90834,7
90835,13
90836,7
90837,6
90838,7
90839,8
90840,8
90841,7
90842,10
90843,8
90844,10
90845,7
90846,7
90847,7
90848,10
90849,8
90850,9
90851,7
90852,6
90853,10
90854,7
90855,7
90856,7
90857,10
90858,7
90859,9
90860,7
90861,13
90862,10
90863,7
90864,7
90865,8
90866,10
90867,7
90868,9
90869,8
90870,7
90871,7
90872,9
90873,7
90874,7
90875,7
90876,13
90877,7
90878,7
90879,9
90880,7
90881,7
90882,7
90883,10
90884,10
90885,8
90886,10
90887,6
90888,12
90889,10
90890,7
90891,10
90892,6
90893,6
90894,9
90895,7
90896,6
90897,6
90898,6
90899,9
90900,9
90901,10
90902,7
90903,6
90904,8
90905,6
90906,7
90907,7
90908,6
90909,9
90910,8
90911,6
90912,10
90913,7
90914,9
90915,7
90916,7
90917,8
90918,7
90919,7
90920,7
90921,13
90922,8
90923,7
90924,7
90925,7
90926,13
90927,9
90928,9
90929,7
90930,7
90931,9
90932,13
90933,7
90934,8
90935,6
90936,8
90937,10
90938,9
90939,8
90940,7
90941,8
90942,6
90943,7
90944,7
90945,9
90946,9
90947,9
90948,9
90949,6
90950,9
90951,7
90952,7
90953,7
90954,7
90955,9
90956,7
90957,7
90958,5
90959,8
90960,7
90961,7
90962,7
90963,6
90964,9
90965,6
90966,7
90967,7
90968,7
90969,7
90970,6
90971,8
90972,7
90973,9
90974,7
90975,10
90976,9
90977,7
90978,6
90979,7
90980,6
90981,8
90982,13
90983,6
90984,7
90985,6
90986,7
90987,9
90988,7
90989,7
90990,9
90991,7
90992,6
90993,9
90994,9
90995,6
90996,9
90997,7
90998,7
90999,6
91000,13
91001,8
91002,7
91003,7
91004,12
91005,7
91006,7
91007,9
91008,7
91009,10
91010,7
91011,7
91012,7
91013,9
91014,13
91015,8
91016,7
91017,8
91018,7
91019,7
91020,9
91021,7
91022,7
91023,6
91024,7
91025,7
91026,13
91027,7
91028,7
91029,13
91030,7
91031,7
91032,7
91033,6
91034,7
91035,7
91036,10
91037,7
91038,13
91039,9
91040,7
91041,6
91042,7
91043,7
91044,7
91045,6
91046,7
91047,7
91048,9
91049,9
91050,9
91051,9
91052,7
91053,7
91054,7
91055,8
91056,7
91057,7
91058,10
91059,10
91060,8
91061,7
91062,7
91063,6
91064,10
91065,8
91066,9
91067,9
91068,7
91069,12
91070,8
91071,7
91072,6
91073,6
91074,9
91075,7
91076,7
91077,8
91078,6
91079,7
91080,9
91081,7
91082,7
91083,7
91084,7
91085,12
91086,8
91087,10
91088,8
91089,9
91090,9
91091,7
91092,10
91093,7
91094,7
91095,10
91096,7
91097,10
91098,13
91099,6
91100,9
91101,10
91102,7
91103,8
91104,9
91105,8
91106,8
91107,6
91108,8
91109,7
91110,7
91111,7
91112,7
91113,8
91114,7
91115,9
91116,6
91117,7
91118,6
91119,7
91120,13
91121,9
91122,6
91123,9
91124,9
91125,7
91126,7
91127,6
91128,7
91129,7
91130,7
91131,9
91132,10
91133,7
91134,13
91135,7
91136,7
91137,7
91138,8
91139,7
91140,9
91141,9
91142,10
91143,6
91144,7
91145,10
91146,6
91147,10
91148,7
91149,7
91150,7
91151,9
91152,7
91153,7
91154,8
91155,10
91156,6
91157,7
91158,7
91159,7
91160,7
91161,7
91162,7
91163,6
91164,13
91165,9
91166,7
91167,9
91168,8
91169,13
91170,7
91171,13
91172,9
91173,13
91174,6
91175,13
91176,7
91177,7
91178,6
91179,8
91180,13
91181,9
91182,9
91183,7
91184,6
91185,13
91186,13
91187,6
91188,7
91189,7
91190,6
91191,7
91192,7
91193,8
91194,7
91195,7
91196,6
91197,7
91198,6
91199,7
91200,13
91201,8
91202,7
91203,7
91204,6
91205,7
91206,9
91207,10
91208,13
91209,9
91210,6
91211,13
91212,9
91213,6
91214,10
91215,7
91216,6
91217,7
91218,7
91219,9
91220,8
91221,7
91222,13
91223,10
91224,9
91225,10
91226,10
91227,7
91228,8
91229,9
91230,9
91231,8
91232,8
91233,12
91234,7
91235,7
91236,9
91237,8
91238,7
91239,8
91240,7
91241,7
91242,9
91243,9
91244,10
91245,7
91246,7
91247,7
91248,7
91249,13
91250,6
91251,9
91252,13
91253,7
91254,6
91255,13
91256,8
91257,7
91258,7
91259,8
91260,13
91261,7
91262,13
91263,6
91264,7
91265,7
91266,13
91267,7
91268,6
91269,19
91270,7
91271,7
91272,13
91273,9
91274,6
91275,10
91276,7
91277,7
91278,7
91279,9
91280,13
91281,7
91282,9
91283,13
91284,9
91285,10
91286,7
91287,10
91288,10
91289,7
91290,7
91291,7
91292,7
91293,7
91294,13
91295,8
91296,8
91297,10
91298,8
91299,6
91300,7
91301,13
91302,7
91303,9
91304,7
91305,13
91306,6
91307,8
91308,7
91309,10
91310,9
91311,7
91312,9
91313,9
91314,6
91315,9
91316,7
91317,8
91318,13
91319,7
91320,7
91321,8
91322,6
91323,12
91324,8
91325,7
91326,10
91327,7
91328,13
91329,7
91330,9
91331,13
91332,7
91333,7
91334,10
91335,6
91336,8
91337,8
91338,8
91339,8
91340,8
91341,6
91342,10
91343,8
91344,7
91345,7
91346,8
91347,13
91348,7
91349,9
91350,6
91351,7
91352,9
91353,8
91354,13
91355,8
91356,19
91357,7
91358,9
91359,7
91360,6
91361,7
91362,6
91363,6
91364,8
91365,8
91366,7
91367,8
91368,7
91369,8
91370,8
91371,7
91372,6
91373,13
91374,7
91375,10
91376,6
91377,10
91378,7
91379,12
91380,10
91381,10
91382,6
91383,6
91384,7
91385,7
91386,13
91387,7
91388,7
91389,7
91390,8
91391,8
91392,13
91393,13
91394,8
91395,9
91396,10
91397,10
91398,9
91399,7
91400,6
91401,8
91402,9
91403,7
91404,7
91405,7
91406,8
91407,8
91408,9
91409,7
91410,7
91411,7
91412,6
91413,7
91414,7
91415,7
91416,10
91417,9
91418,7
91419,10
91420,19
91421,9
91422,6
91423,7
91424,7
91425,7
91426,7
91427,6
91428,8
91429,7
91430,7
91431,6
91432,7
91433,8
91434,10
91435,7
91436,7
91437,7
91438,7
91439,7
91440,13
91441,8
91442,10
91443,9
91444,10
91445,7
91446,6
91447,10
91448,8
91449,7
91450,13
91451,8
91452,10
91453,7
91454,6
91455,7
91456,8
91457,6
91458,9
91459,10
91460,13
91461,13
91462,8
91463,7
91464,6
91465,9
91466,10
91467,7
91468,7
91469,7
91470,8
91471,10
91472,6
91473,10
91474,10
91475,7
91476,7
91477,7
91478,9
91479,6
91480,7
91481,10
91482,13
91483,6
91484,6
91485,13
91486,6
91487,13
91488,7
91489,7
91490,9
91491,7
91492,13
91493,7
91494,13
91495,7
91496,10
91497,7
91498,8
91499,7
91500,9
91501,9
91502,8
91503,6
91504,7
91505,8
91506,8
91507,9
91508,7
91509,10
91510,13
91511,7
91512,10
91513,8
91514,7
91515,13
91516,7
91517,6
91518,8
91519,6
91520,7
91521,10
91522,7
91523,7
91524,6
91525,8
91526,7
91527,7
91528,10
91529,7
91530,7
91531,9
91532,10
91533,7
91534,7
91535,6
91536,10
91537,9
91538,8
91539,7
91540,7
91541,7
91542,7
91543,7
91544,7
91545,8
91546,13
91547,6
91548,13
91549,8
91550,7
91551,13
91552,9
91553,8
91554,7
91555,8
91556,6
91557,6
91558,7
91559,8
91560,9
91561,13
91562,8
91563,8
91564,19
91565,9
91566,7
91567,10
91568,7
91569,5
91570,13
91571,7
91572,13
91573,7
91574,10
91575,7
91576,7
91577,10
91578,7
91579,10
91580,7
91581,9
91582,19
91583,13
91584,13
91585,10
91586,7
91587,6
91588,7
91589,6
91590,7
91591,6
91592,7
91593,6
91594,9
91595,7
91596,8
91597,13
91598,8
91599,10
91600,13
91601,6
91602,10
91603,7
91604,9
91605,9
91606,8
91607,7
91608,8
91609,7
91610,9
91611,10
91612,13
91613,7
91614,8
91615,8
91616,7
91617,13
91618,8
91619,9
91620,6
91621,9
91622,7
91623,10
91624,13
91625,6
91626,8
91627,13
91628,10
91629,13
91630,6
91631,7
91632,7
91633,9
91634,8
91635,7
91636,6
91637,10
91638,10
91639,9
91640,9
91641,6
91642,8
91643,7
91644,10
91645,6
91646,6
91647,13
91648,6
91649,9
91650,8
91651,9
91652,10
91653,7
91654,7
91655,9
91656,6
91657,7
91658,6
91659,10
91660,10
91661,6
91662,8
91663,6
91664,9
91665,9
91666,7
91667,6
91668,10
91669,8
91670,8
91671,7
91672,8
91673,13
91674,7
91675,7
91676,7
91677,10
91678,7
91679,7
91680,7
91681,7
91682,7
91683,6
91684,13
91685,8
91686,7
91687,7
91688,7
91689,13
91690,7
91691,6
91692,7
91693,6
91694,10
91695,7
91696,12
91697,13
91698,5
91699,10
91700,8
91701,19
91702,9
91703,9
91704,8
91705,8
91706,13
91707,13
91708,7
91709,7
91710,7
91711,10
91712,7
91713,8
91714,7
91715,10
91716,13
91717,9
91718,9
91719,13
91720,7
91721,10
91722,7
91723,10
91724,7
91725,8
91726,7
91727,6
91728,13
91729,9
91730,7
91731,7
91732,7
91733,9
91734,8
91735,7
91736,7
91737,7
91738,7
91739,6
91740,7
91741,10
91742,8
91743,8
91744,8
91745,7
91746,9
91747,8
91748,7
91749,9
91750,6
91751,6
91752,6
91753,6
91754,7
91755,8
91756,13
91757,10
91758,13
91759,10
91760,9
91761,7
91762,7
91763,6
91764,12
91765,12
91766,8
